Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
42,Polkastarter,Nord Finance,NORD,Ethereum,DeFi,"yield aggregator, polygon ecosystem",$ 1.74M,1740000,$ 311.83K,311830,0.36x,0.36,1.36,21.91x,21.91,22.91,$ 90.00K,90000,$ 90.00K,90000,1/11/2021,1/11/2021,3/1/2021,49,ACTIVE
43,Polkastarter,Oddz Finance,ODDZ,Ethereum,DeFi,"staking, governance, polygon ecosystem, derivatives",$ 1.61M,1610000,$ 390.19K,390190,0.15x,0.15,1.15,21.70x,21.70,22.7,$ 150.00K,150000,$ 2.73M,2730000,3/17/2021,3/16/2021,4/5/2021,20,ACTIVE
44,Polkastarter,Cere Network,CERE,Ethereum,Blockchain Infrastructure,"governance, nft, marketplace, polkadot ecosystem, staking",$ 30.24M,30240000,$ 1.03M,1030000,0.34x,0.34,1.34,21.55x,21.55,22.55,$ 500.00K,500000,$ 37.90M,37900000,11/7/2021,11/7/2021,11/7/2021,0,ACTIVE
45,Polkastarter,Polkadex,PDEX,Ethereum,DeFi,"polkadot ecosystem, amm, nft, staking, dex",$ 6.35M,6350000,$ 527.69K,527690,1.00x,1.00,2,19.73x,19.73,20.73,$ 250.00K,250000,$ 4.39M,4390000,4/15/2021,4/15/2021,4/17/2021,2,ACTIVE
46,Polkastarter,APYSwap,APYS,"Ethereum, Solana",DeFi,"governance, solana ecosystem",$ 310.85K,310850,$ 24.91K,24910,0.17x,0.17,1.17,19.59x,19.59,20.59,$ 125.00K,125000,$ 1.88M,1880000,3/1/2021,3/1/2021,4/6/2021,36,ACTIVE
47,Polkastarter,Public Mint,MINT,Ethereum,CeFi,"payments, staking",$ 2.66M,2660000,$945.04 ,945.04,0.26x,0.26,1.26,19.27x,19.27,20.27,$ 250.00K,250000,$ 250.00K,250000,2/25/2021,2/25/2021,3/19/2021,22,ACTIVE
48,Polkastarter,Humans,HEART,Ethereum,Blockchain Infrastructure,"governance, dapp, nft, staking",$ 2.46M,2460000,$ 207.46K,207460,0.41x,0.41,1.41,18.11x,18.11,19.11,$ 1.17M,1170000,$ 1.17M,1170000,12/8/2021,12/8/2021,12/25/2021,17,ACTIVE
49,Polkastarter,Unido,UDO,Ethereum,DeFi,governance,$ 1.38M,1380000,$ 15.55K,15550,0.30x,0.30,1.3,18.02x,18.02,19.02,$ 100.00K,100000,$ 1.50M,1500000,3/2/2021,3/2/2021,3/2/2021,0,ACTIVE
50,Polkastarter,Stratos,STOS,Ethereum,Cloud Storage,oracle,$ 8.13M,8130000,$ 595.39K,595390,1.00x,1.00,2,17.98x,17.98,18.98,$ 300.00K,300000,$ 2.13M,2130000,6/8/2021,6/8/2021,11/24/2021,169,ACTIVE
51,Polkastarter,Tidal Finance,TIDAL,Ethereum,DeFi,"staking, governance, polkadot ecosystem, insurance, polygon ecosystem",$ 2.44M,2440000,$ 772.38K,772380,0.11x,0.11,1.11,17.34x,17.34,18.34,$ 100.00K,100000,$ 1.90M,1900000,3/22/2021,3/22/2021,3/24/2021,2,ACTIVE
52,Polkastarter,TRVL,TRVL,"Ethereum, BNB",Blockchain Service,governance,$ 7.88M,7880000,$ 84.17K,84170,0.72x,0.72,1.72,17.26x,17.26,18.26,$ 500.00K,500000,$ 1.36M,1360000,11/25/2021,11/25/2021,11/27/2021,2,ACTIVE
53,Polkastarter,Domi Online,DOMI,"BNB, Ethereum",GameFi,"play to earn, nft, bnb chain ecosystem, staking, cross-chain",$ 562.47K,562470,$ 49.31K,49310,0.91x,0.91,1.91,16.72x,16.72,17.72,$ 280.00K,280000,$ 480.00K,480000,12/14/2021,12/14/2021,1/31/2022,48,ACTIVE
54,Polkastarter,Rangers Protocol Gas,RPG,"BNB, Ethereum",Blockchain Infrastructure,"cross-chain, smart contract platform, staking",$ 6.00M,6000000,$ 1.26K,1260,0.45x,0.45,1.45,16.37x,16.37,17.37,$ 420.00K,420000,$ 3.26M,3260000,10/6/2021,10/6/2021,11/23/2021,48,ACTIVE
55,Polkastarter,Legend of Fantasy War,LFW,BNB,GameFi,"marketplace, nft, play to earn, metaverse, collectibles",$ 24.77K,24770,$ 105.88K,105880,0.06x,0.06,1.06,15.88x,15.88,16.88,$ 250.00K,250000,$ 2.85M,2850000,10/27/2021,10/27/2021,11/15/2021,19,ACTIVE
56,Polkastarter,Charged Particles,IONX,Ethereum,DeFi,"nft, governance, dapp, collectibles",$ 1.67M,1670000,$ 982.37K,982370,0.22x,0.22,1.22,13.78x,13.78,14.78,$ 200.00K,200000,$ 200.00K,200000,5/30/2021,5/30/2021,8/28/2021,90,ACTIVE
