Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (add +1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
77,DAO Maker,Mochi Market,MOMA,"BNB, Polygon, Ethereum",Blockchain Service,"marketplace, nft, governance, staking, launchpad, amm, yield farming, polygon ecosystem, cross-chain",$ 136.51K,136510,$ 18.79K,18790,0.04x,0.04,1.04,9.56x,9.56,10.56,$ 95.00K,95000,$ 595.00K,595000,4/22/2021,4/22/2021,4/26/2021,4,ACTIVE
78,DAO Maker,CoinsPaid,CPD,Ethereum,CeFi,"payments, dapp, cross-chain, yield farming, amm, wallet",$ 2.40M,2400000,$ 72.33K,72330,1.29x,1.29,2.29,9.53x,9.53,10.53,$ 100.00K,100000,$ 2.12M,2120000,8/21/2021,8/21/2021,8/31/2021,10,ACTIVE
79,DAO Maker,Envoy Network,ENV,"Ethereum, BNB",NFT,"bnb chain ecosystem, staking, collectibles",$ 62.02K,62020,$ 10.59K,10590,0.03x,0.03,1.03,9.14x,9.14,10.14,$ 130.00K,130000,$ 2.63M,2630000,10/31/2021,11/1/2021,11/2/2021,1,ACTIVE
80,DAO Maker,ReSource Protocol,SOURCE,"Celo, BNB, Ethereum",DeFi,"staking, privacy, lending/borrowing, governance, bnb chain ecosystem",$ 1.63M,1630000,$ 38.05K,38050,0.90x,0.90,1.9,8.88x,8.88,9.88,$ 1.23M,1230000,$ 5.72M,5720000,11/13/2021,11/13/2021,11/22/2021,9,ACTIVE
81,DAO Maker,DragonSB,SB,"BNB, Terra Classic",GameFi,"bnb chain ecosystem, terra ecosystem, collectibles, nft, play to earn, metaverse",$ 40.09K,40090,$ 51.90K,51900,0.04x,0.04,1.04,8.71x,8.71,9.71,$ 195.00K,195000,$ 1.92M,1920000,2/15/2022,2/17/2022,4/15/2022,57,ACTIVE
82,DAO Maker,Alphr.Finance,ALPHR,Ethereum,DeFi,social network,$ 35.73K,35730,$ 19.62K,19620,0.01x,0.01,1.01,8.70x,8.70,9.7,$ 150.00K,150000,$ 2.10M,2100000,4/11/2021,4/26/2021,5/11/2021,15,ACTIVE
83,DAO Maker,Lever Network,LEV,"Ethereum, BNB",DeFi,"amm, loan, governance, dex",$ 216.82K,216820,$ 12.59K,12590,0.06x,0.06,1.06,7.97x,7.97,8.97,$ 100.00K,100000,$ 2.39M,2390000,5/2/2021,5/6/2021,5/9/2021,3,ACTIVE
84,DAO Maker,Smoothy,SMTY,"Ethereum, BNB",DeFi,amm,$ 1.19M,1190000,$ 201.04K,201040,0.03x,0.03,1.03,7.21x,7.21,8.21,$ 200.00K,200000,$ 3.42M,3420000,4/23/2021,4/26/2021,4/26/2021,0,ACTIVE
85,DAO Maker,Symbiosis Finance,SIS,"Ethereum, Arbitrum",DeFi,"cross-chain, amm, dex, dapp, staking, yield farming, yield aggregator, exchange token",$ 4.08M,4080000,$ 145.96K,145960,0.29x,0.29,1.29,6.95x,6.95,7.95,$ 440.00K,440000,$ 9.54M,9540000,11/24/2021,11/25/2021,1/15/2022,51,ACTIVE
86,DAO Maker,BBS Network,BBS,"Ethereum, BNB",Social,"social media, social network",$ 2.67M,2670000,$ 83.61K,83610,0.54x,0.54,1.54,6.95x,6.95,7.95,$ 550.00K,550000,$ 3.25M,3250000,1/4/2022,1/14/2022,2/15/2022,32,ACTIVE
87,DAO Maker,Spellfire,SPELLFIRE,"Ethereum, BNB",GameFi,"nft, play to earn, collectibles",$ 109.58K,109580,$ 261.58K,261580,0.10x,0.10,1.1,6.53x,6.53,7.53,$ 245.00K,245000,$ 4.51M,4510000,1/20/2022,1/24/2022,1/26/2022,2,ACTIVE
88,DAO Maker,Meta Gaming Guild,MGG,"BNB, Ethereum",GameFi,"gaming guild, bnb chain ecosystem, dao, nft, play to earn, yield farming, cross-chain",$ 937.73K,937730,$ 161.60K,161600,0.24x,0.24,1.24,6.23x,6.23,7.23,$ 195.00K,195000,$ 2.88M,2880000,12/18/2021,12/19/2021,2/9/2022,52,ACTIVE
89,DAO Maker,KingdomX,KT,BNB,GameFi,"play to earn, cross-chain, nft",$ 382.77K,382770,$ 134.88K,134880,0.21x,0.21,1.21,6.13x,6.13,7.13,$ 115.00K,115000,$ 2.35M,2350000,2/1/2022,2/3/2022,2/8/2022,5,ACTIVE
90,DAO Maker,Infinity Skies,ISKY,Polygon,GameFi,"nft, play to earn, marketplace, polygon ecosystem",$ 148.45K,148450,$ 17.09K,17090,0.07x,0.07,1.07,6.10x,6.10,7.1,$ 200.00K,200000,$ 3.75M,3750000,1/5/2022,1/10/2022,1/12/2022,2,ACTIVE
91,DAO Maker,Showcase,SHO,Ethereum,Social,"mobile, marketplace, social media",$ 48.47K,48470,0,0,0.01x,0.01,1.01,6.04x,6.04,7.04,$ 195.00K,195000,$ 2.56M,2560000,4/21/2021,4/26/2021,4/27/2021,1,INACTIVE
92,DAO Maker,AdaSwap,ASW,"Cardano, Ethereum",DeFi,"staking, nft, marketplace, governance, dex, amm, yield farming",$ 134.97K,134970,$ 56.76K,56760,0.24x,0.24,1.24,5.47x,5.47,6.47,$ 195.00K,195000,$ 3.09M,3090000,4/3/2022,4/3/2022,4/5/2022,2,ACTIVE
93,DAO Maker,Pera Finance,PERA,Avalanche,DeFi,"staking, yield farming",$ 115.45K,115450,$ 10.82K,10820,0.03x,0.03,1.03,5.36x,5.36,6.36,$ 250.00K,250000,$ 2.00M,2000000,6/15/2021,6/16/2021,7/8/2021,22,ACTIVE
94,DAO Maker,Definer,FIN,Ethereum,DeFi,"lending/borrowing, near ecosystem",$ 3.71M,3710000,$ 120.60K,120600,0.06x,0.06,1.06,5.17x,5.17,6.17,$ 96.00K,96000,$ 1.33M,1330000,9/18/2020,9/22/2020,10/11/2020,19,ACTIVE
95,DAO Maker,MetaSoccer,MSU,Polygon,GameFi,"governance, nft, play to earn, metaverse, dao, polygon ecosystem",$ 1.16M,1160000,$ 33.72K,33720,2.42x,2.42,3.42,4.93x,4.93,5.93,$ 300.00K,300000,$ 2.15M,2150000,12/5/2021,12/6/2021,12/16/2021,10,ACTIVE
96,DAO Maker,Spherium,SPHRI,Ethereum,Financial Services,"payments, marketplace, cross-chain, amm, governance",$ 407.45K,407450,$ 6.96K,6960,0.10x,0.10,1.1,3.89x,3.89,4.89,$ 195.00K,195000,$ 3.96M,3960000,5/21/2021,5/28/2021,8/17/2021,81,ACTIVE
97,DAO Maker,Fantom Maker,FAME,Fantom,DeFi,"launchpad, fantom ecosystem, staking",$ 675.72K,675720,$ 16.36K,16360,0.46x,0.46,1.46,3.38x,3.38,4.38,$ 95.00K,95000,$ 2.06M,2060000,1/12/2022,1/13/2022,4/17/2022,94,ACTIVE
98,DAO Maker,Hubble Protocol,HBB,Solana,DeFi,"solana ecosystem, lending/borrowing, loan, dapp, dao, governance",$ 2.95M,2950000,$ 383.93K,383930,0.22x,0.22,1.22,2.40x,2.40,3.4,$ 1.50M,1500000,$ 13.00M,13000000,1/18/2022,1/25/2022,1/31/2022,6,ACTIVE
99,DAO Maker,DeFiato,DFIAT,"Avalanche, Ethereum, BNB, Terra Classic",Financial Services,"yield farming, staking, avalanche ecosystem",$ 343.59K,343590,$ 6.83K,6830,0.14x,0.14,1.14,2.38x,2.38,3.38,$ 600.00K,600000,$ 4.40M,4400000,2/17/2022,2/20/2022,3/12/2022,20,ACTIVE
100,DAO Maker,WingRiders,WRT,Cardano,DeFi,"dao, yield farming, exchange token, amm, staking, dex",$ 846.11K,846110,$ 12.79K,12790,0.90x,0.90,1.9,2.36x,2.36,3.36,$ 2.25M,2250000,$ 3.25M,3250000,7/3/2022,7/13/2022,7/13/2022,0,ACTIVE
,,,,,,,,,,,,,,,,,,,,,,,,,
